Sh_x,Sh_y,Sh_z,El_x,El_y,El_z,Wr_x,Wr_y,Wr_z,WrVec_x,WrVec_y,WrVec_z,Trunk_x,Trunk_y,Trunk_z
-139.11750864623002,59.946402962509495,89.65636765774043,-273.0896836957752,-92.37840752855493,-164.5832581388753,-123.55623671495043,-288.44770935528504,-94.7493502948797,-43.5129159512251,-46.26570645413043,-35.48054196208282,22.292439837139057,557.8284403344406,210.64133322007834
-139.33226299853587,59.34947487033305,89.6753509250482,-272.36749574351705,-92.6997016422689,-165.62719478589761,-124.71693587834073,-291.8170149002105,-101.88341837632714,-44.179066737091304,-44.55216121716729,-36.63178296284225,22.50686302518052,557.4494806521026,210.45413281033956
-139.5064877012137,58.61307735519743,89.78080683558176,-271.7691631456195,-93.16128099949223,-166.4802006715426,-126.00150763322196,-294.93878680584066,-108.2321289467476,-44.6997371570684,-42.952008353850694,-37.69130647742358,23.0074929393468,556.8271894762436,210.22898401478363
-139.68001949163883,58.06536803374935,89.8097995031474,-270.7349722110754,-93.69409880529231,-167.39844743100497,-126.74942992643422,-297.7869505606054,-113.89128370069325,-45.08351846241191,-41.45574147568881,-38.72406860138329,23.162649595079365,556.3967673555501,210.04824834533724
-139.8133556530264,57.363102884741345,89.9323902566867,-269.91676626503994,-94.42680050565814,-167.9824892611267,-127.61640488220638,-300.53496952354715,-118.815185473065,-45.44305589815686,-40.105541799751286,-39.583600477832306,23.638915966153643,555.7132908661483,209.82865167731705
-139.94996347678517,56.86531293304221,89.97001219946806,-268.68832518216334,-95.27241814329125,-168.54747815893273,-127.8938230741641,-303.1091222961235,-123.14664655051136,-45.759013913581484,-38.88063985894829,-40.356412497935,23.74392054660686,555.2545050170415,209.6601264185414
-140.04653227115637,56.19478427922574,90.10940628247454,-267.7522534857243,-96.35132177131882,-168.7011913771305,-128.32044351650123,-305.6651474843331,-126.86758132808949,-46.11826811467463,-37.80862612949745,-40.914898365548275,24.208947059575152,554.531226781132,209.45070774326516
-140.15028340407804,55.74354853087646,90.15556621361704,-266.4153737281741,-97.5409726447183,-168.83675218184052,-128.14208900491764,-308.0929988860631,-130.1531720745259,-46.464076216199956,-36.84744981161528,-41.38763926501861,24.275408765980167,554.0668985316328,209.29757691048522
-140.21398635521584,55.099246981908294,90.31245159334141,-265.4412980763547,-98.94190946553191,-168.57039683932035,-128.18686789899934,-310.53422050527155,-132.9894651055805,-46.86164767321688,-36.013832629429906,-41.66418488660783,24.74418757642193,553.3236399345444,209.0996232428562
-140.28983659179718,54.69124834410427,90.36657281356528,-264.0688660956234,-100.39205970654348,-168.36751626090566,-127.64360308204436,-312.83631919261734,-135.55380589196463,-47.23094655282593,-35.258809547211804,-41.90256005192166,24.78370006929206,552.8736093745247,208.9622857441893
