 WRA,,, WRB,,, RU_1,,, RU_2,,, RU_3,,, RU_4,,, ELB_M,,, ELB_L,,, H_1,,, H_2,,, H_3,,, H_4,,, H_5,,, H_6,,, SA_1,,, SA_2,,, SA_3,,, CS_1,,, CS_2,,, CS_3,,, CS_4,,, Cylinder_1,,, Cylinder_2,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-251.116,239.538,38.8463,-324.047,238.513,23.1229,-340.233,449.63,66.8685,-311.683,360.273,58.5096,-274.057,362.265,47.091,-303.387,456.591,68.1862,,,,-368.619,521.889,39.206,-318.767,571.816,106.023,-298.027,593.312,132.764,-278.975,609.199,158.787,-263.435,572.491,171.355,-279.688,556.201,143.329,-304.947,534.237,114.729,-139.432,720.014,303.554,-130.5,602.641,275.577,-142.413,646.241,319.547,3.39197,536.241,223.234,4.29325,547.221,248.43,48.0192,539.975,250.841,45.9834,526.63,225.772,,,,,,
-251.228,239.686,38.8759,-324.114,238.511,22.9567,-340.802,449.572,67.1055,-312.104,360.232,58.5996,-274.437,362.336,47.3071,-303.994,456.526,68.7041,,,,-369.015,521.962,39.5552,-319.076,571.981,106.304,-298.252,593.44,133.011,-279.142,609.298,158.986,-263.672,572.578,171.61,-280.006,556.307,143.634,-305.398,534.397,115.097,-139.435,720.013,303.567,-130.547,602.587,275.66,-142.409,646.244,319.569,3.3711,536.247,223.253,4.27443,547.223,248.451,47.9996,539.966,250.862,45.9586,526.623,225.793,,,,,,
-251.324,239.856,38.9266,-324.159,238.513,22.7952,-341.37,449.526,67.3461,-312.52,360.206,58.6982,-274.81,362.425,47.5355,-304.6,456.478,69.2191,,,,-369.419,522.041,39.9061,-319.391,572.146,106.588,-298.483,593.567,133.261,-279.315,609.396,159.19,-263.911,572.663,171.865,-280.325,556.413,143.936,-305.847,534.557,115.458,-139.44,720.008,303.581,-130.596,602.532,275.739,-142.407,646.243,319.59,3.34842,536.252,223.269,4.25375,547.224,248.469,47.9781,539.955,250.882,45.9321,526.615,225.813,,,,,,
-251.398,240.051,39.001,-324.177,238.521,22.6407,-341.932,449.494,67.5896,-312.925,360.195,58.806,-275.173,362.533,47.7762,-305.201,456.45,69.7288,,,,-369.831,522.125,40.2568,-319.711,572.311,106.874,-298.72,593.691,133.515,-279.491,609.491,159.397,-264.152,572.743,172.119,-280.643,556.516,144.233,-306.29,534.717,115.812,-139.448,720.002,303.594,-130.645,602.477,275.815,-142.407,646.239,319.611,3.32394,536.256,223.284,4.23118,547.224,248.486,47.9546,539.943,250.9,45.9037,526.605,225.832,,,,,,
-251.449,240.273,39.1015,-324.164,238.535,22.4954,-342.486,449.475,67.8353,-313.317,360.202,58.9234,-275.523,362.66,48.029,-305.794,456.443,70.2308,,,,-370.248,522.214,40.6054,-320.033,572.474,107.161,-298.96,593.813,133.771,-279.672,609.582,159.606,-264.394,572.818,172.371,-280.959,556.617,144.525,-306.727,534.876,116.156,-139.459,719.992,303.609,-130.694,602.421,275.888,-142.41,646.232,319.63,3.29767,536.259,223.298,4.20675,547.222,248.502,47.9292,539.93,250.916,45.8735,526.594,225.848,,,,,,
-251.472,240.523,39.2307,-324.116,238.557,22.3618,-343.029,449.471,68.0823,-313.692,360.228,59.051,-275.856,362.809,48.2939,-306.376,456.456,70.723,,,,-370.668,522.307,40.95,-320.357,572.634,107.448,-299.204,593.93,134.028,-279.857,609.669,159.816,-264.636,572.889,172.62,-281.272,556.716,144.809,-307.156,535.033,116.489,-139.472,719.98,303.623,-130.744,602.365,275.957,-142.415,646.222,319.648,3.26963,536.26,223.309,4.18045,547.219,248.516,47.9019,539.916,250.931,45.8416,526.583,225.863,,,,,,
-251.463,240.802,39.391,-324.03,238.587,22.2426,-343.557,449.483,68.3299,-314.046,360.274,59.1895,-276.169,362.981,48.5707,-306.941,456.492,71.2035,,,,-371.09,522.405,41.2885,-320.68,572.792,107.731,-299.449,594.044,134.284,-280.044,609.752,160.027,-264.877,572.954,172.863,-281.58,556.811,145.085,-307.575,535.188,116.81,-139.488,719.965,303.637,-130.795,602.308,276.022,-142.423,646.208,319.666,3.23984,536.261,223.319,4.15229,547.214,248.528,47.8726,539.9,250.945,45.808,526.57,225.877,,,,,,
-251.419,241.113,39.5845,-323.9,238.627,22.1403,-344.068,449.511,68.5773,-314.374,360.341,59.3393,-276.458,363.176,48.8593,-307.488,456.551,71.6702,,,,-371.511,522.507,41.6192,-321.002,572.945,108.011,-299.696,594.152,134.538,-280.233,609.831,160.236,-265.115,573.013,173.101,-281.883,556.903,145.352,-307.983,535.339,117.118,-139.507,719.947,303.652,-130.846,602.25,276.084,-142.434,646.191,319.682,3.2083,536.26,223.327,4.12228,547.208,248.538,47.8415,539.883,250.957,45.7726,526.555,225.889,,,,,,
-251.335,241.456,39.8136,-323.724,238.678,22.0579,-344.558,449.557,68.8239,-314.674,360.43,59.5009,-276.719,363.397,49.1594,-308.011,456.633,72.1215,-308.69,543.945,-22.1321,-371.93,522.613,41.94,-321.322,573.094,108.285,-299.943,594.255,134.788,-280.423,609.903,160.444,-265.349,573.066,173.331,-282.178,556.99,145.608,-308.377,535.486,117.412,-139.529,719.926,303.667,-130.897,602.192,276.142,-142.447,646.171,319.697,3.17504,536.258,223.334,4.09044,547.201,248.547,47.8085,539.865,250.967,45.7356,526.54,225.898,,,,,,
-251.207,241.832,40.08,-323.497,238.741,21.9982,-345.024,449.619,69.0687,-314.942,360.543,59.675,-276.948,363.643,49.4709,-308.508,456.738,72.5558,-309.397,544.42,-21.8875,-372.344,522.721,42.2492,-321.637,573.238,108.553,-300.189,594.351,135.034,-280.613,609.971,160.649,-265.579,573.112,173.553,-282.465,557.072,145.852,-308.758,535.629,117.689,-139.554,719.903,303.681,-130.948,602.134,276.196,-142.463,646.148,319.71,3.14008,536.255,223.338,4.05678,547.192,248.554,47.7736,539.846,250.975,45.6968,526.524,225.907,,,,,,
-251.032,242.243,40.3855,-323.216,238.816,21.9639,-345.463,449.699,69.3111,-315.174,360.679,59.8617,-277.143,363.917,49.7935,-308.975,456.867,72.9717,-310.07,544.878,-21.6654,-372.752,522.831,42.5451,-321.947,573.376,108.811,-300.432,594.441,135.274,-280.804,610.032,160.849,-265.803,573.152,173.765,-282.743,557.15,146.083,-309.123,535.766,117.95,-139.582,719.878,303.695,-131,602.075,276.247,-142.482,646.122,319.722,3.10346,536.25,223.341,4.02132,547.182,248.559,47.7368,539.826,250.982,45.6565,526.506,225.913,,,,,,
-250.807,242.69,40.7316,-322.877,238.905,21.958,-345.872,449.797,69.5504,-315.366,360.84,60.0617,-277.301,364.218,50.1269,-309.409,457.02,73.368,-310.709,545.319,-21.4657,-373.152,522.943,42.8259,-322.249,573.507,109.06,-300.672,594.525,135.506,-280.993,610.088,161.044,-266.021,573.185,173.966,-283.011,557.222,146.301,-309.472,535.897,118.193,-139.613,719.849,303.71,-131.053,602.015,276.293,-142.504,646.093,319.732,3.0652,536.245,223.342,3.98409,547.171,248.563,47.6983,539.804,250.987,45.6146,526.488,225.918,,,,,,
-250.526,243.172,41.1194,-322.476,239.009,21.9831,-346.25,449.912,69.7859,-315.516,361.027,60.2752,-277.417,364.547,50.4707,-309.807,457.196,73.7438,-311.314,545.742,-21.2883,-373.542,523.056,43.0903,-322.544,573.631,109.297,-300.908,594.601,135.73,-281.18,610.136,161.233,-266.231,573.212,174.156,-283.267,557.288,146.504,-309.803,536.022,118.417,-139.648,719.818,303.724,-131.105,601.956,276.336,-142.528,646.06,319.741,3.02535,536.238,223.34,3.94511,547.158,248.565,47.6579,539.782,250.991,45.5711,526.468,225.921,,,,,,
-250.188,243.69,41.5497,-322.01,239.128,22.042,-346.593,450.044,70.0169,-315.621,361.238,60.5026,-277.489,364.904,50.8247,-310.166,457.394,74.0982,-311.886,546.147,-21.1333,-373.92,523.169,43.3368,-322.828,573.748,109.521,-301.139,594.669,135.944,-281.365,610.179,161.414,-266.432,573.232,174.332,-283.511,557.349,146.692,-310.115,536.139,118.623,-139.685,719.785,303.737,-131.158,601.896,276.374,-142.555,646.025,319.748,2.98392,536.23,223.338,3.90441,547.144,248.564,47.6158,539.758,250.992,45.5261,526.448,225.922,,,,,,
-249.788,244.243,42.023,-321.477,239.264,22.1371,-346.9,450.192,70.2428,-315.676,361.475,60.7439,-277.515,365.29,51.1886,-310.484,457.615,74.4308,-312.424,546.535,-21.0006,-374.283,523.28,43.5642,-323.102,573.858,109.731,-301.363,594.73,136.146,-281.546,610.214,161.587,-266.624,573.246,174.495,-283.742,557.403,146.864,-310.407,536.25,118.809,-139.725,719.749,303.751,-131.21,601.835,276.409,-142.585,645.986,319.753,2.94099,536.221,223.333,3.86203,547.129,248.563,47.572,539.733,250.992,45.4796,526.426,225.921,,,,,,
